的	白 勹 4
挑	扌 见字底 冫 飞无折
鲜	鱼 羊
谁	讠 隹
征	彳 正
抽	扌 由
曰	曰
拜	龵 1 丰
麦	龶 夊
借	亻 龷 日
纯	纟 1 屯无横
抢	扌 全字头 㔾
界	田 全字头 乔字底
柳	木 卯
排	扌 非
编	纟 户 扁字心
针	钅 十
残	歹 1 戈
舰	舟 见
伴	亻 丷 举字底
盖	美字头 皿
哲	扌 斤 口
炸	火 乍
阶	阝 全字头 乔字底
迟	尸 4 辶
房	户 方
孤	子 瓜
豆	豆
混	氵 日 比
择	扌 又 举字底
荣	荧字头 木
暴	日 龷 八 氺
弹	弓 兽字头 十
缺	缶 候右角 人
伦	亻 全字头 匕
舒	全字头 舍字底 予
森	木 林
枪	木 全字头 㔾
俄	亻 手 戈
述	木 4 辶
途	全字头 余字底 辶
汉	氵 又
降	阝 夊 㐄
谓	讠 田 青字底
训	讠 川
仇	亻 九
攻	工 攵
萧	贲字腰 肀 乔字底 八
趣	走 耳 又
补	衤 卜
尤	尤
材	木 于无横 3
宝	宀 玉
庭	广 壬 廴
哼	口 享字头 了
叹	口 又
判	丷 夫三 刂
奶	女 乃
岛	鸟省 山
尖	小 大
怪	忄 又 土
末	末
纵	纟 人 人
域	土 戈 或字心
挺	扌 壬 廴
朗	4 即字旁 月
轮	车旁 全字头 匕
诺	讠 贲字腰 右
碰	石 䒑 业
涨	氵 弓 长
鹤	冖 隹 鸟
甲	甲
闭	门 于无横 3
喊	口 戊 同字心
洛	氵 各
凝	冫 匕 矢 龴 疋
墙	土 土 丷 回
妖	女 夭
码	石 马
雕	周字框 周字心 隹
壁	尸 口 辛 土
迹	亦 辶
爆	火 日 龷 八 氺
腰	月 覀 女
危	尔字头 厂 㔾
慕	莫 恭字底
赛	宀 寒字腰 八 贝
飘	覀 示 风省 㐅
稍	禾 尚字头 青字底
滚	氵 衣框 八 厶
典	典字头 共字底
夹	夫 丷
侧	亻 贝 刂
横	木 龷 黄字底
洋	氵 羊
讯	讠 5 十
腔	月 穴 工
质	反字框 十 贝
遗	贵字头 贝 辶
迫	白 辶
弄	⺩ 廾
奖	丬 夕 大
记	讠 己
辛	辛
珍	⺩ 全字头 彡
逐	豕 辶
烧	火 尧字头 兀
宜	宀 且
促	亻 足
勇	龴 甬字底 力
狼	犭 4 艮
括	扌 舌
鞋	革 圭
勒	革 力
凶	㐅 凵
湾	氵 变字头 弓
纷	纟 八 刀
赞	告字头 见字底 告字头 见字底 贝
启	户 口
吐	口 土
呈	口 ⺩
喵	口 贲字腰 田
孔	子 5
鼓	壴 十 又
伟	亻 韦
贫	八 刀 贝
课	讠 田 木
缘	纟 彑 豕省
附	阝 亻 寸
