的	白 勹 4
橄	木 5 耳 攵
牒	片 廿 5 木
漉	氵 鹿
撂	扌 田 各
臆	月 音 心
捎	扌 尚字头 青字底
眈	目 冖 见字底
竣	立 厶 八 夊
祛	礻 土 厶
筏	竹头 亻 戈
盅	中 皿
瘢	疒 舟 殳
涟	氵 车 辶
灸	久二 4 火
畿	幺 幺 戈 田
咂	口 匸 巾
酆	山 丰 丰 豆 阝
篆	竹头 彑 豕省
羿	羽 廾
胚	月 不 1
芋	贲字腰 1 于无横
勖	冒字头 目 力
霪	雨头 氵 爫 壬
驮	马 大
胰	月 大框 弓
茸	贲字腰 耳
荤	荧字头 车
皑	白 山 己
掂	扌 广 占
醺	酉 千 黑
恪	忄 各
娓	女 尸 毛
雏	尔字头 彐 隹
泞	氵 宀 丁
窿	穴 阝 夊 1 生
扈	户 口 巴
瘸	疒 力 口 内 人
湃	氵 龵 1 丰
黔	黑 亽 5
僮	亻 立 里
荟	贲字腰 全字头 云
烨	火 亻 化字边 十
玷	⺩ 占
谥	讠 䒑 八 皿
粱	氵 刀 横两点 米
盂	1 于无横 皿
蜿	虫 宀 夕 㔾
袈	力 口 衣
讹	讠 亻 化字边
琛	⺩ 冖 八 木
邬	乌 阝
唳	口 户 犬
耆	耂 匕 日
顼	⺩ 页
熠	火 羽 白
嘁	口 戊 上 小
袜	衤 末
栓	木 全字头 ⺩
坷	土 可
嚏	口 索字头 田 疋
纨	纟 九 4
霁	雨头 文 乔字底
渥	氵 尸 至
狩	犭 宀 寸
厩	厂 即字旁 旡
鸯	见二 大 鸟
酉	酉
唏	口 㐅 左字框 巾
雒	各 隹
捋	扌 爫 寸
蔗	贲字腰 广 廿 灬
皋	白 大 十
辘	车旁 鹿
绫	纟 土 八 夊
稷	禾 田 八 夊
挝	扌 寸 辶
埠	土 3 㠯 十
郸	兽字头 十 阝
臊	月 口 吅 木
俐	亻 禾 刂
喋	口 廿 5 木
犊	牜 十 5 冬字底 大
摒	扌 尸 丷 开
谚	讠 立无横 厂 彡
脐	月 文 乔字底
刨	勹 巳 刂
呷	口 甲
哂	口 西
鸨	匕 十 鸟
噙	口 全字头 亠 㐅 凵 禸
阉	门 大 电
缄	纟 戊 同字心
胥	疋 青字底
苞	贲字腰 勹 巳
逅	反字框 同字心 辶
啻	帝字头 巾 口
酪	酉 各
诨	讠 冖 车
榭	木 身 寸
憩	舌 自 心
晾	日 享字头 小
瘪	疒 自 全字头 匕
桦	木 亻 化字边 十
侏	亻 3 未
愠	忄 日 皿
纫	纟 刀 4
恙	美字头 心
噘	口 厂 䒑 䶹 欠
邂	角 刀 牛 辶
箴	竹头 戊 同字心
桢	木 卢字头 贝
恬	忄 舌
馍	饣 莫
畹	田 宀 夕 㔾
惋	忄 宀 夕 㔾
撸	扌 鱼 日
媲	女 囱字框 㐅 比
茉	贲字腰 末
淖	氵 卢字头 日 十
帚	彐 冖 巾
翱	白 大 十 羽
冁	兽字头 十 尸 龷 畏字底
蟆	虫 莫
琬	⺩ 宀 夕 㔾
稠	禾 周字框 周字心
鞑	革 大 辶
缈	纟 目 少三 3
氯	气 录字头 氺
妤	女 予
龌	齿 尸 至
耘	二 木 云
僖	亻 壴 口
阪	阝 反字框 又
坍	土 周字框 亠
孀	女 雨头 木 目
秧	禾 见二 大
擞	扌 米 女 攵
痞	疒 不 口
踵	足旁 千 里
缨	纟 贝 贝 女
炜	火 韦
楔	木 丰 刀 大
獾	犭 贲字腰 吅 隹
浒	氵 讠 卧人 十
鲇	鱼 占
锰	钅 子 皿
佼	亻 六 㐅
匝	匸 巾
翦	䒑 青字底 刂 羽
洵	氵 勹 日
芍	贲字腰 勹 4
隼	隹 十
篓	竹头 米 女
撵	扌 夫 夫 车
菠	落字框 皮
杳	木 日
胱	月 尚字头 兀
珈	⺩ 力 口
泯	氵 民
珲	⺩ 冖 车
搪	扌 广 肀 口
钡	钅 贝
潦	氵 大 丷 日 小
俅	亻 求
汶	氵 文
邺	业 阝
骁	马 尧字头 兀
漳	氵 音 十
叁	厶 大 三
闩	门 1
柚	木 由
翊	立 羽
椿	木 春字头 日
瘴	疒 音 十
癖	疒 尸 口 辛
钝	钅 1 屯无横
瀛	氵 吂 月凡 女
恸	忄 云 力
蕨	贲字腰 厂 䒑 䶹 欠
颦	止旁 步字底 页 卑六 十
蝗	虫 白 ⺩
蜥	虫 木 斤
啮	口 齿
腓	月 非
旌	方 卧人 生
蚩	屮 1 虫
泗	氵 四
敕	束 攵
羚	差字头 令
俪	亻 1 丽下角 丽下角
堰	土 匸 日 女
骧	马 衣框 吅 寒字腰
粑	米 巴
撬	扌 毛 毛 毛
盹	目 1 屯无横
愫	忄 龶 糸
宓	宀 心 3
娑	氵 少三 3 女
浣	氵 宀 二 见字底
砾	石 乐二 小
蘸	贲字腰 酉 隹 灬
婀	女 阝 可
彝	彑 米 糸 廾
疵	疒 止旁 匕
蹩	㡀 攵 足
潞	氵 足旁 各
怆	忄 全字头 㔾
觊	山 己 见
摁	扌 囗 大 心
鸳	夕 㔾 鸟
鹗	吅 1 丂 鸟
蟾	虫 尔字头 厂 八 訁
咿	口 亻 聿三 3
抠	扌 匸 㐅
镰	钅 广 䒑 聿三 兼无䒑无彐
镣	钅 大 丷 日 小
镐	钅 高
碘	石 典字头 共字底
癸	癶 天
淬	氵 亠 人 人 十
罔	冂 䒑 亡
婵	女 兽字头 十
蹂	足旁 矛 木
痊	疒 全字头 ⺩
颉	吉 页
裆	衤 尚字头 彐
跚	足旁 册
纭	纟 云
锚	钅 贲字腰 田
讫	讠 卧人 6
洱	氵 耳
柠	木 宀 丁
辍	车旁 双 双
驸	马 亻 寸
恿	龴 甬字底 心
窕	穴 见字底 冫 飞无折
蓿	贲字腰 宀 亻 百
啬	土 丷 回
蜕	虫 兑字头 见字底
淄	氵 巛 田
斡	十 日 十 全字头 斗
锺	钅 千 里
泷	氵 龙
彗	丰 丰 彐
瘀	疒 方 全字头 冬字底
苌	贲字腰 长
舐	舌 卬字旁 弋二
酝	酉 云
焊	火 日 干
踝	足旁 田 木
蛰	扌 九 4 虫
剐	口 内 刂
岖	山 匸 㐅
杞	木 己
鼾	自 田 丌 干
桧	木 全字头 云
躏	足旁 贲字腰 门 隹
颀	斤 页
谲	讠 矛 冂 八 口
忻	忄 斤
瞰	目 5 耳 攵
涣	氵 尔字头 见二 大
剁	几 木 刂
刽	全字头 云 刂
骅	马 亻 化字边 十
揄	扌 亼 青字底 刂
诣	讠 匕 日
咩	口 羊
泵	石 水
藜	贲字腰 禾 勹 3 全字头 氺
谄	讠 尔字头 臼
胯	月 大 1 丂
胭	月 囗 大
弼	弓 百 弓
谩	讠 曼
澹	氵 尔字头 厂 八 訁
碴	石 木 旦
舷	舟 亠 幺
鳍	鱼 耂 匕 日
篡	竹头 目 大 厶
陨	阝 口 贝
箓	竹头 录字头 氺
殡	歹 宀 丘无横 共字底
褛	衤 米 女
鹭	足旁 各 鸟
胴	月 冂 同字心
蟋	虫 釆 心
掖	扌 亠 亻 夜下角
孵	卵 爫 子
臼	臼
汩	氵 曰
圻	土 斤
郢	口 ⺩ 阝
铛	钅 尚字头 彐
跻	足旁 文 乔字底
槌	木 3 㠯 辶
绾	纟 宀 㠯
鄱	釆 田 阝
葆	贲字腰 亻 口 木
瘁	疒 亠 人 人 十
饨	饣 1 屯无横
飕	风省 㐅 臼 2 又
峪	山 谷
罄	士 眉字框 殳 缶
诠	讠 全字头 ⺩
弈	亦 廾
俾	亻 卑六 十
荻	贲字腰 犭 火
啐	口 亠 人 人 十
涸	氵 囗 古
焱	火 火 火
缇	纟 日 定字底
哞	口 厶 牛
圩	土 1 于无横
剽	覀 示 刂
晔	日 亻 化字边 十
皿	皿
裾	衤 尸 古
抻	扌 申
鬓	髟 宀 丘无横 共字底
涓	氵 口 青字底
徙	彳 止旁 龰
螳	虫 龸 口 土
攥	扌 竹头 目 大 糸
壑	歺头 谷 又 土
掸	扌 兽字头 十
蚌	虫 丰
宸	宀 辰
撅	扌 厂 䒑 䶹 欠
俑	亻 龴 甬字底
侗	亻 冂 同字心
辔	纟 车 纟 口
皙	木 斤 白
绺	纟 夊 卜 口
枞	木 人 人
恫	忄 冂 同字心
釜	八 㐅 金字底
柑	木 甘
獗	犭 厂 䒑 䶹 欠
汐	氵 夕
蔺	贲字腰 门 隹
墩	土 享字头 子 攵
薏	贲字腰 音 心
阂	门 亥
蓟	贲字腰 鱼 刂
娆	女 尧字头 兀
咤	口 宀 3 七
斓	文 门 束 丷
娠	女 辰
孪	变字头 子
俎	人 人 且
泅	氵 囗 人
膘	月 覀 示
髻	髟 吉
绉	纟 尔字头 彐
铎	钅 又 举字底
忤	忄 卧人 十
邋	巛 巤字底 辶
雹	雨头 勹 巳
晟	日 戊 5
殓	歹 亼 应字心
轲	车旁 可
饯	饣 1 戈
湮	氵 覀 土
粲	歺 又 米
煲	亻 口 木 火
仄	厂 人
豺	豸 于无横 3
鳗	鱼 曼
颧	贲字腰 吅 隹 页
遨	龶 万无横 攵 辶
瑷	⺩ 爱字头 左字框 又
殒	歹 口 贝
戍	戊 4
囔	口 囊字头 吅 寒字腰 衣省
粕	米 白
鹄	告字头 口 鸟
苻	贲字腰 亻 寸
泸	氵 卢字头 尸
璎	⺩ 贝 贝 女
掇	扌 双 双
坯	土 不 1
挎	扌 大 1 丂
箩	竹头 罒 夕
纂	竹头 目 大 糸
舀	爫 臼
仨	亻 三
褴	衤 临字旁 临右角 皿
艮	艮
邙	亡 阝
宕	宀 石
疣	疒 尤
嗝	口 鬲
谧	讠 心 3 皿
椰	木 耳 阝
胄	由 青字底
钰	钅 玉
鞅	革 见二 大
馄	饣 日 比
裟	氵 少三 3 衣
羲	美字头 禾 丂 戈
篙	竹头 高
蜻	虫 龶 青字底
樟	木 音 十
嗬	口 贲字腰 亻 可
囤	囗 1 屯无横
衾	亽 5 衣
娉	女 由 丂
熹	壴 口 灬
噔	口 癶 豆
溟	氵 冖 日 六
坳	土 幺 力
倜	亻 周字框 周字心
傣	亻 春字头 氺
踮	足旁 广 占
麝	鹿 身 寸
黠	黑 吉
岱	亻 弋 山
涮	氵 尸 巾 刂
沣	氵 丰
佻	亻 见字底 冫 飞无折
漕	氵 曹字头 日
黍	禾 全字头 氺
狒	犭 弓 乔字底
熨	尸 示 寸 火
阗	门 直 八
徵	微字框 ⺩
臧	臧字框 臣
蛆	虫 且
皈	白 反字框 又
蚤	又 4 虫
龇	齿 止旁 匕
罅	缶 虍 3 丷 于无横
韭	非 1
峋	山 勹 日
钛	钅 大 4
荚	贲字腰 夫 丷
睾	3 罒 土 南字心
糠	米 广 隶字框 氺
蜓	虫 壬 廴
呤	口 令
莅	贲字腰 亻 立
垛	土 几 木
怏	忄 见二 大
濠	氵 亮字头 豕
榈	木 门 口 口
诽	讠 非
蚯	虫 丘无横 1
轶	车旁 3 夫
泓	氵 弓 厶
唁	口 訁
蜚	非 虫
铀	钅 由
祐	礻 右
馥	禾 日 卧人 日 夊
偃	亻 匸 日 女
揶	扌 耳 阝
鳝	鱼 羊 䒑 口
羸	吂 月凡 羊
蚪	虫 斗
汞	工 水
阡	阝 千
岌	山 及
诙	讠 左字框 火
钠	钅 内
嗑	口 土 厶 皿
叵	匸 口
蛀	虫 4 王
暹	日 隹 辶
濑	氵 束 尔字头 贝
铨	钅 全字头 ⺩
秸	禾 吉
町	田 丁
饷	饣 向字框 口
饪	饣 壬
遑	白 ⺩ 辶
猱	犭 矛 木
琏	⺩ 车 辶
庾	广 臼 人
贲	十 贲字腰 贝
囡	囗 女
姝	女 3 未
骈	马 丷 开
壹	壳字头 豆
铠	钅 山 己
龈	齿 艮
璀	⺩ 山 隹
铐	钅 耂 丂
偎	亻 田 1 畏字底
睽	目 癶 天
娣	女 丷 弟省
乩	占 5
忸	忄 5 里无日
祚	礻 乍
闾	门 口 口
柩	木 匸 久二 4
钾	钅 甲
魇	厂 犬 鬼无厶 厶
鸢	弋 鸟
穑	禾 土 丷 回
啖	口 火 火
袤	衣框 矛
怵	忄 木 4
锏	钅 门 日
媪	女 日 皿
奁	大 匸 㐅
嗥	口 白 大 十
濂	氵 广 䒑 聿三 兼无䒑无彐
佞	亻 二 女
嫒	女 爱字头 左字框 又
泾	氵 经右角 工
瘾	疒 阝 尔字头 彐 心
耙	二 木 巴
耷	大 耳
聒	耳 舌
镂	钅 米 女
缥	纟 覀 示
嫱	女 土 丷 回
茁	贲字腰 屮 凵
莘	贲字腰 辛
迩	尔字头 小 辶
诮	讠 尚字头 青字底
戛	夏字头 戈
骠	马 覀 示
谀	讠 臼 人
衢	行 目 目 隹
鬈	髟 龹 㔾
琊	⺩ 牙 阝
濯	氵 羽 隹
缵	纟 告字头 见字底 告字头 见字底 贝
怩	忄 尸 匕
啕	口 勹 缶
隍	阝 白 ⺩
酗	酉 㐅 凵
苓	贲字腰 令
蒯	贲字腰 月 月 刂
伲	亻 尸 匕
鹞	爫 缶 鸟
飨	乡 食
淙	氵 宀 示
戌	戊 1
浜	氵 丘无横 共字底
锢	钅 囗 古
鬃	髟 宀 示
臃	月 亠 乡 隹
罹	罒 忄 隹
礴	石 落字框 甫 寸
懔	忄 亠 回 示
谗	讠 免五 见字底 冬字底
犟	弓 口 虫 牛
嶙	山 米 夕 㐄
沏	氵 七 刀
蛔	虫 回
圃	囗 甫
蜃	辰 虫
儡	亻 田 田 田
呓	口 贲字腰 6
恽	忄 冖 车
栉	木 贲字腰 节字底
缮	纟 羊 䒑 口
锹	钅 禾 火
琰	⺩ 火 火
辎	车旁 巛 田
赭	土 亦字底 者
刎	勹 横两撇 刂
疟	疒 虐字底
劾	亥 力
胫	月 经右角 工
赡	贝 尔字头 厂 八 訁
赊	贝 全字头 示
涿	氵 豕 4
缜	纟 直 八
捺	扌 大 示
榛	木 春字头 禾
腴	月 臼 人
绦	纟 夊 朩
泱	氵 见二 大
龛	合 龙
鼹	鼠 日 宀 女
卅	卅
淞	氵 木 八 厶
跆	足旁 厶 口
俦	亻 寿字头 寸
诤	讠 尔字头 争字底
猕	犭 弓 尔字头 小
姣	女 六 㐅
恹	忄 厂 犬
瓮	八 厶 瓦
旖	方 卧人 大 可
曷	日 勹 亾
壬	壬
堑	车旁 斤 土
蓑	贲字腰 衣框 见二 二
匐	勹 同字心 田
乜	5 5
谖	讠 爫 1 左字框 又
檄	木 白 方 攵
赳	走 丩
玖	⺩ 久二 4
鲱	鱼 非
赀	止旁 匕 贝
篝	竹头 寒字腰 冂 里无日
诳	讠 犭 ⺩
馊	饣 臼 2 又
摞	扌 田 糸
砥	石 卬字旁 弋二 4
挈	丰 刀 手
耦	二 木 田 禺字底
偈	亻 日 勹 亾
苁	贲字腰 人 人
栾	变字头 木
搽	扌 贲字腰 全字头 朩
噱	口 虍 豕
涝	氵 荧字头 力
峥	山 尔字头 争字底
殁	歹 殳
赧	土 亦字底 卩 又
钜	钅 匸 叚右角
哐	口 匸 ⺩
佗	亻 宀 匕
糯	米 雨头 而
镀	钅 广 廿 又
橹	木 鱼 日
滂	氵 帝字头 方
豢	龹 豕
膑	月 宀 丘无横 共字底
骊	马 1 丽下角 丽下角
椋	木 享字头 小
诋	讠 卬字旁 弋二 4
氲	气 日 皿
吡	口 比
摈	扌 宀 丘无横 共字底
贰	弋 二 贝
皎	白 六 㐅
骜	龶 万无横 攵 马
驷	马 四
蝌	虫 禾 斗
疡	疒 5 横两撇
嘹	口 大 丷 日 小
弋	弋
澧	氵 曲 豆
幄	巾 尸 至
镳	钅 鹿 灬
偻	亻 米 女
佰	亻 百
臬	自 木
蹴	足旁 享字头 小 尤
蓖	贲字腰 囱字框 㐅 比
狰	犭 尔字头 争字底
氅	龸 口 攵 毛
雉	矢 隹
裱	衤 龶 衣省
眇	目 少三 3
潢	氵 龷 黄字底
榔	木 4 即字旁 阝
蟠	虫 釆 田
樽	木 酋 寸
蚓	虫 弓 2
鸷	扌 九 4 鸟
狎	犭 甲
螭	虫 亠 㐅 凵 禸
垠	土 艮
挞	扌 大 辶
伉	亻 亠 几
枸	木 句
犒	牜 高
煸	火 户 扁字心
蛄	虫 古
坂	土 反字框 又
岷	山 民
鳎	鱼 日 羽
狻	犭 厶 八 夊
锌	钅 辛
傥	亻 龸 口 见字底
涪	氵 立 口
郏	夫 丷 阝
呶	口 女 又
氟	气 弓 乔字底
镁	钅 美字头 大
獠	犭 大 丷 日 小
隗	阝 鬼无厶 厶
箕	竹头 其
骛	矛 攵 马
欤	1 5 1 欠
坨	土 宀 匕
拮	扌 吉
獭	犭 束 尔字头 贝
笪	竹头 旦
竽	竹头 1 于无横
鍪	矛 攵 金
椽	木 彑 豕省
蹇	宀 寒字腰 八 足
嗄	口 夏字头 夊
昶	4 永无点 日
膻	月 亠 回 旦
傩	亻 又 隹
焖	火 门 心
稔	禾 亽 5 心
懋	林 矛 心
寮	宀 大 丷 日 小
焙	火 立 口
胛	月 甲
崂	山 荧字头 力
涞	氵 未 丷
诿	讠 禾 女
瑁	⺩ 冒字头 目
痔	疒 寺
銮	变字头 金
镌	钅 隹 乃
觐	革 二 见
埂	土 更
荛	贲字腰 尧字头 兀
翳	匸 矢 殳 羽
舫	舟 方
钺	钅 戉
棂	木 彐 火
僭	亻 旡 旡 日
趺	足旁 夫
塾	享字头 子 九 4 土
剜	宀 夕 㔾 刂
喙	口 彑 豕省
兖	六 厶 见字底
涔	氵 山 亽 5
榷	木 冖 隹
藓	贲字腰 鱼 羊
橇	木 毛 毛 毛
鳅	鱼 禾 火
缙	纟 1 业 日
佥	亼 应字心
峒	山 冂 同字心
绶	纟 爱字头 又
鄢	正 1 5 灬 阝
厝	厂 龷 日
绌	纟 屮 凵
谶	讠 人 人 戈 非 1
诰	讠 告字头 口
荥	荧字头 水
渚	氵 者
喁	口 田 禺字底
愎	忄 卧人 日 夊
匮	匸 贵字头 贝
饴	饣 厶 口
殇	歹 卧人 5 横两撇
酮	酉 冂 同字心
燮	訁 火 火 又
仟	亻 千
癣	疒 鱼 羊
蒿	贲字腰 高
俚	亻 里
牝	牜 匕
夯	大 力
罂	贝 贝 缶
辇	夫 夫 车
犷	犭 广
阒	门 目 犬
鲈	鱼 卢字头 尸
掴	扌 囗 玉
洌	氵 歹 刂
鸵	鸟 宀 匕
羯	差字头 日 勹 亾
氩	气 1 业
鋈	氵 夭 金
徇	彳 勹 日
奂	尔字头 见二 大
徜	彳 龸 口
痨	疒 荧字头 力
弁	厶 廾
阏	门 方 全字头 冬字底
桠	木 1 业
氤	气 囗 大
呲	口 止旁 匕
煊	火 宀 1 旦
铣	钅 告字头 见字底
沤	氵 匸 㐅
牦	牜 毛
孱	尸 子 子 子
跎	足旁 宀 匕
闳	门 左字框 厶
橛	木 厂 䒑 䶹 欠
诜	讠 告字头 见字底
洄	氵 回
痢	疒 禾 刂
忾	忄 气
斫	石 斤
竦	立 束
撷	扌 吉 页
崴	山 戊 1 女
娲	女 口 内
魑	鬼无厶 厶 亠 㐅 凵 禸
枇	木 比
扪	扌 门
沅	氵 二 见字底
鸩	冖 见字底 鸟
奘	爿 士 大
龊	齿 足
诓	讠 匸 ⺩
湎	氵 面
楹	木 乃 又 皿
篾	竹头 罒 戊 4
碜	石 厶 大 彡
阕	门 癶 天
褓	衤 亻 口 木
裨	衤 卑六 十
鲲	鱼 日 比
姘	女 丷 开
蟑	虫 音 十
粼	米 夕 㐄 巜
熵	火 商字头 八 口
笳	竹头 力 口
笕	竹头 见
斛	角 斗
鹑	享字头 子 鸟
蘅	贲字腰 行 鱼 人
仃	亻 丁
衮	衣框 八 厶
黜	黑 屮 凵
饬	饣 卧人 力
衩	衤 又 4
蝼	虫 米 女
圪	土 卧人 6
钏	钅 川
浠	氵 㐅 左字框 巾
腌	月 大 电
砺	石 厂 1 万无横
蟀	虫 亠 幺 冫 飞无折 十
佶	亻 吉
螫	土 亦字底 攵 虫
颢	景 页
钿	钅 田
婧	女 龶 青字底
箔	竹头 氵 白
醮	酉 隹 灬
巽	巳 巳 龷 八
魃	鬼无厶 厶 尤无折 又
圜	囗 罒 同字心 衣省
纰	纟 比
蚝	虫 毛
畦	田 圭
绻	纟 龹 㔾
擤	扌 自 田 丌
擘	尸 口 辛 手
裰	衤 双 双
歆	音 欠
莆	贲字腰 甫
酩	酉 夕 口
燔	火 釆 田
轱	车旁 古
锂	钅 里
墉	土 广 肀 用
杷	木 巴
蛭	虫 至
绔	纟 大 1 丂
獐	犭 音 十
鹜	矛 攵 鸟
擢	扌 羽 隹
呦	口 幺 力
潍	氵 纟 隹
丕	不 1
铳	钅 充字头 见字底
恂	忄 勹 日
懑	氵 贲字腰 1 内 人 心
烩	火 全字头 云
琨	⺩ 日 比
珏	⺩ 玉
纥	纟 卧人 6
眦	目 止旁 匕
肽	月 大 4
犄	牜 大 可
纾	纟 予
鸬	卢字头 尸 鸟
骞	宀 寒字腰 八 马
氖	气 乃
矾	石 几 4
鏊	龶 万无横 攵 金
襁	衤 弓 口 虫
沱	氵 宀 匕
祜	礻 古
怫	忄 弓 乔字底
弑	㐅 朩 弋 工
夔	䒑 自 止旁 巳 八 夊
幺	幺
螨	虫 贲字腰 1 内 人
蛹	虫 龴 甬字底
鲫	鱼 即字旁 卩
缢	纟 䒑 八 皿
镕	钅 宀 谷
砧	石 占
悌	忄 丷 弟省
砒	石 比
艄	舟 尚字头 青字底
酚	酉 八 刀
蠡	彑 豕省 虫 虫
闼	门 大 辶
颏	亥 页
蒺	贲字腰 疒 矢
鲟	鱼 彐 寸
搡	扌 又 双 木
刍	尔字头 彐
讴	讠 匸 㐅
趄	走 且
嘞	口 革 力
蛐	虫 曲
钒	钅 几 4
痿	疒 禾 女
榉	木 学字头 共字底 举字底
觞	角 卧人 5 横两撇
菏	落字框 可
囿	囗 左字框 青字底
缟	纟 高
邈	豸 白 见字底 辶
楂	木 木 旦
痫	疒 门 木
薅	贲字腰 女 辰 寸
瞭	目 大 丷 日 小
馔	饣 巳 巳 龷 八
蚧	虫 全字头 乔字底
矍	目 目 隹 又
徭	彳 爫 缶
珩	⺩ 行
愆	行 氵 心
牍	片 十 5 冬字底 大
忝	天 恭字底
猗	犭 大 可
槁	木 高
錾	车旁 斤 金
缡	纟 亠 㐅 凵 禸
孬	不 女 子
饕	口 丂 虍 几 食
踽	足旁 3 口 禺字底
梏	木 告字头 口
陟	阝 止旁 步字底
衽	衤 壬
茯	贲字腰 亻 犬
铡	钅 贝 刂
擀	扌 十 日 十 全字头 干
陂	阝 皮
胍	月 瓜
潸	氵 林 青字底
侩	亻 全字头 云
氦	气 亥
洳	氵 女 口
淦	氵 金
髯	髟 冂 里无日
窠	穴 田 木
琮	⺩ 宀 示
仡	亻 卧人 6
陲	阝 千 艹 二
冼	冫 告字头 见字底
芊	贲字腰 千
忪	忄 八 厶
翕	合 羽
嗍	口 䒑 䶹 月
滓	氵 宀 辛
锉	钅 人 人 土
霰	雨头 龷 青字底 攵
氪	气 古 见字底
磔	石 夕 㐄 木
怄	忄 匸 㐅
腚	月 宀 定字底
覃	覀 日 十
濡	氵 雨头 而
铰	钅 六 㐅
姹	女 宀 3 七
轸	车旁 全字头 彡
颍	匕 水 页
谡	讠 田 八 夊
睥	目 卑六 十
桎	木 至
痂	疒 力 口
囟	囱字框 㐅
鹌	大 电 鸟
屐	尸 彳 十 又
煨	火 田 1 畏字底
戕	爿 戈
卟	口 卜
玳	⺩ 亻 弋
儆	亻 贲字腰 句 攵
滦	氵 变字头 木
遢	日 羽 辶
槊	䒑 䶹 月 木
瘠	疒 冫 飞无折 人 青字底
箸	竹头 者
铱	钅 衣
炷	火 4 王
蚱	虫 乍
邝	广 阝
郦	1 丽下角 丽下角 阝
鹘	骨 鸟
邕	巛 口 巴
蜇	扌 斤 虫
觥	角 尚字头 兀
坼	土 斤 4
镍	钅 自 木
蛎	虫 厂 1 万无横
肓	亡 青字底
苡	贲字腰 以字旁 人
阚	门 5 耳 攵
铬	钅 各
睢	目 隹
欹	大 可 欠
麋	鹿 米
蠼	虫 目 目 隹 又
蜴	虫 日 勹 横两撇
炀	火 5 横两撇
栎	木 乐二 小
窸	穴 釆 心
揆	扌 癶 天
磬	士 眉字框 殳 石
馏	饣 留字头 田
缫	纟 巛 田 木
嵴	山 冫 飞无折 人 青字底
舢	舟 山
狷	犭 口 青字底
嘣	口 山 月 月
劭	召 力
庋	广 十 又
酯	酉 匕 日
旮	九 日
酢	酉 乍
耄	耂 匕 毛
酰	酉 告字头 见字底
莒	贲字腰 口 口
艉	舟 尸 毛
瞽	壴 十 又 目
彀	彀字框无一 1 弓
瓯	匸 㐅 瓦
貉	豸 各
豕	豕
砭	石 3 之
赝	厂 亻 隹 贝
蔫	贲字腰 正 1 5 灬
狲	犭 子 小
獒	龶 万无横 攵 犬
旯	日 九
鳟	鱼 酋 寸
迤	卧人 也 辶
跏	足旁 力 口
爰	爫 1 左字框 又
篁	竹头 白 ⺩
鹂	1 丽下角 丽下角 鸟
舛	夕 㐄
骘	阝 止旁 步字底 马
帑	女 又 巾
觎	亼 青字底 刂 见
辚	车旁 米 夕 㐄
佘	全字头 示
孛	索字头 子
唑	口 人 人 土
艿	贲字腰 乃
黩	黑 十 5 冬字底 大
硌	石 各
逖	犭 火 辶
槔	木 白 大 十
苫	贲字腰 占
殛	歹 了 口 又 1
隰	阝 日 幺 幺 灬
嶂	山 音 十
桡	木 尧字头 兀
笏	竹头 勹 横两撇
橐	囊字头 石 木
繇	爫 缶 3 糸
禳	礻 衣框 吅 寒字腰
馕	饣 囊字头 吅 寒字腰 衣省
杈	木 又 4
蜢	虫 子 皿
淼	水 水 水
娩	女 免五 见字底
搠	扌 䒑 䶹 月
毂	彀字框无一 车旁
葭	贲字腰 叚字旁无二 二 叚右角 又
趔	走 歹 刂
烷	火 宀 二 见字底
鳃	鱼 田 心
榫	木 隹 十
殚	歹 兽字头 十
讣	讠 卜
狯	犭 全字头 云
薨	贲字腰 罒 冖 歹 匕
伧	亻 全字头 㔾
觯	角 兽字头 十
囵	囗 全字头 匕
缦	纟 曼
鬣	髟 巛 巤字底
辋	车旁 冂 䒑 亡
帏	巾 韦
匦	匸 车旁 九
酵	酉 耂 子
诂	讠 古
祉	礻 止旁
墀	土 尸 犀字心头 牛
妗	女 亽 5
薮	贲字腰 米 女 攵
俳	亻 非
撺	扌 穴 中 中
谙	讠 音
遴	米 夕 㐄 辶
氰	气 龶 青字底
岫	山 由
莠	贲字腰 禾 乃
啵	口 氵 皮
鱿	鱼 尤
吒	口 3 七
兕	凹无横 兀
鞣	革 矛 木
畲	全字头 示 田
肱	月 左字框 厶
仵	亻 卧人 十
逡	厶 八 夊 辶
苜	贲字腰 目
啁	口 周字框 周字心
蚜	虫 牙
疽	疒 且
唿	口 勹 横两撇 心
醴	酉 曲 豆
餮	歹 全字头 彡 食
窈	穴 幺 力
踅	扌 斤 足
仞	亻 刀 4
牯	牜 古
雱	雨头 方
饽	饣 索字头 子
闱	门 韦
孢	子 勹 巳
菀	贲字腰 宀 夕 㔾
诟	讠 反字框 同字心
谠	讠 龸 口 见字底
鲑	鱼 圭
贽	扌 九 4 贝
髭	髟 止旁 匕
砷	石 申
鼗	见字底 冫 飞无折 壴 十 又
笥	竹头 5 同字心
缂	纟 革
叻	口 力
掮	扌 户 青字底
恚	圭 心
燧	火 䒑 豕省 辶
鹕	古 月 鸟
钚	钅 不
镭	钅 雨头 田
菟	贲字腰 免五 见字底 4
褡	衤 贲字腰 合
谌	讠 其 5
赉	未 丷 贝
垩	1 业 土
潆	氵 荧字头 糸
炔	火 候右角 人
晗	日 亽 5 口
糅	米 矛 木
佝	亻 句
悒	忄 口 巴
镊	钅 耳 双
砉	丰 石
蛳	虫 师字旁 1 巾
啭	口 车旁 二 5 4
骓	马 隹
呋	口 夫
