奕码·优化版 拆分表（hanzi-chai驱动，共8230字）
说明: 拆分中[xx]为PUA部件名；编码为三码全码；排名0=非top6000
------------------------------------------------------------
字	排名	频率	拆分	编码
南	307	1603202	十·冂·[南字心]	ugi
品	308	1386826	口·吅·吅	jph
住	309	1287455	亻·丶·王	mzv
告	310	511247	[告字头]·口·口	pjk
类	311	2326056	米·大·大	xkd
求	312	1072698	求·求·求	wqq
据	313	1689091	扌·尸·古	htn
程	314	768506	禾·口·⺩	wjv
北	315	1367136	[北字旁]·匕·匕	ecb
边	316	833693	力·辶·辶	iod
死	317	1217897	歹·匕·匕	ucb
张	318	3033180	弓·长·长	lrc
该	319	4811567	讠·亥·亥	izh
交	320	1255743	六·㐅·㐅	mhi
规	321	648278	夫·见·见	xej
万	322	2768197	一·[万无横]·[万无横]	epd
取	323	803546	耳·又·又	xry
拉	324	1755976	扌·立·立	hyl
格	325	1314545	木·各·各	sdg
望	326	484013	亡·月·⺩	avv
觉	327	525550	[学无子]·见·见	dej
术	328	695807	木·丶·丶	szd
领	329	734915	令·页·页	fxy
共	330	1090024	龷·八·八	ytb
确	331	508455	石·角·角	uij
传	332	966692	亻·二·丶	mtz
师	333	1145106	[师字旁]·一·巾	pef
观	334	702164	又·见·见	rej
清	335	1259858	氵·龶·[青字底]	opv
今	336	1073136	亽·乚·乚	fwe
切	337	789762	七·刀·刀	bpd
院	338	752196	阝·宀·[见字底]	zly
让	339	7873961	讠·上·上	iis
识	340	407522	讠·口·八	ijt
候	341	346538	[修字旁]·[候右角]·矢	maf
带	342	2758993	[带无巾]·巾·巾	nfj
导	343	555384	巳·寸·寸	cpc
争	344	323494	[尔字头]·[争字底]·[争字底]	icv
运	345	821698	云·辶·辶	tod
笑	346	576912	[竹头]·夭·夭	pgy
飞	347	725648	乚·[飞无折]·[飞无折]	wfb
风	348	1277397	[风省]·㐅·㐅	whi
步	349	744451	[止旁]·[步字底]·[步字底]	khx
改	350	1237093	己·攵·攵	hyp
收	351	1332678	丩·攵·攵	byp
根	352	840359	木·艮·艮	szg
干	353	1395409	干·干·干	egg
造	354	684757	[告字头]·口·辶	pjo
言	355	481513	訁·訁·訁	wyy
联	356	926677	耳·丷·天	xsg
持	357	817831	扌·寺·寺	hls
组	358	1459930	纟·且·且	yuq
每	359	2592394	[卧人]·母·母	ftm
济	360	458008	氵·文·[乔字底]	ocl
车	361	3637604	车·车·车	ncc
亲	362	534569	立·朩·朩	ysm
极	363	912178	木·及·及	ssj
林	364	1649062	林·林·林	qll
服	365	808458	月·卩·又	vbr
快	366	2129386	忄·[候右角]·人	qak
办	367	957930	力·[横两点]·[横两点]	itb
议	368	410717	讠·丶·㐅	izh
往	369	812988	彳·丶·王	wzv
元	370	4430163	二·[见字底]·[见字底]	tye
英	371	842707	[贲字腰]·[见二]·大	bgk
士	372	682097	士·士·士	zss
证	373	953777	讠·正·正	ice
近	374	1585211	斤·辶·辶	lod
失	375	411346	丿·夫·夫	axf
转	376	1362416	[车旁]·二·丶	ntz
夫	377	805642	夫·夫·夫	xff
令	378	597419	令·令·令	fll
准	379	736847	冫·隹·隹	fou
布	380	1360810	[左字框]·巾·巾	cfj
始	381	472215	女·厶·口	goj
怎	382	251419	乍·心·心	cnx
呢	383	3361189	口·尸·匕	jtc
存	384	570408	[在字框]·子·子	cyi
未	385	1729931	未·未·未	nww
远	386	1076255	二·[见字底]·辶	tyo
叫	387	1520558	口·丩·丩	jbj
台	388	1559399	厶·口·口	ojk
单	389	1425591	[兽字头]·十·十	qus
影	390	690317	景·彡·彡	gps
具	391	782596	[具字头]·八·八	utb
罗	392	1417500	罒·夕·夕	dtx
字	393	1357371	宀·子·子	lyi
爱	394	3107527	[爱字头]·[左字框]·又	jcr
击	395	402086	[举字底]·凵·凵	hkk
流	396	984325	氵·[充字头]·[荒字底]	ote
备	397	456564	夊·田·田	rbt
兵	398	333397	[丘无横]·[共字底]·[共字底]	ltb
连	399	1416923	车·辶·辶	nod
调	400	947154	讠·[周字框]·[周字心]	igi
深	401	1178470	氵·冖·木	ons
商	402	1119960	[商字头]·八·口	ytj
算	403	1666653	[竹头]·目·廾	pkh
质	404	686110	[反字框]·十·贝	auq
团	405	857363	囗·[于无横]·丿	wua
集	406	1527241	隹·木·木	osm
百	407	693441	百·百·百	dbb
需	408	1432344	[雨头]·而·而	lze
价	409	1455557	亻·[全字头]·[乔字底]	mkl
花	410	1841183	[贲字腰]·亻·[化字边]	bmm
