# 奕码优化版 拆分表 (官方拆分 100% 保真, 根名为主根字符)
的	白 勹 4
咝	口 纟 纟
孀	女 雨 木 目
怏	心 冂 大
谝	言 户 册
砧	石 占
馕	食  吅 井 衣
耄	者 匕 毛
罂	贝 贝 缶
漕	氵  日
沣	氵 丰
栾	亦 木
榘	矢 匚 匚 木
烷	火 宀 二 儿
榷	木 冖 隹
俑	亻 厶 用
沱	氵 宀 匕
缜	纟 直 八
鹫	高 小 尤 鸟
蛳	虫 刀 1 巾
剽	西 示 刀
衢	行 目 目 隹
泗	氵 四
臊	月 口 吅 木
瘴	疒 音 十
酚	酉 八 刀
纾	纟 予
晁	日 儿 冫 冫
孛	 子
炀	火 5 彡
叁	厶 大 三
憩	舌 自 心
掬	手 勹 米
椤	木 四 夕
啮	口 齿
畿	幺 幺 戈 田
掸	手  十
镣	金 大 丷 日 小
骁	马 戈 兀
椽	木 彐 豕
侗	亻 冂 
滦	氵 亦 木
荩	艹 尸 4 冫
泓	氵 弓 厶
蚱	虫 乍
癜	疒 尸 廿 八 殳
酯	酉 匕 日
癸	八 天
蚜	虫 牙
扪	手 门
庑	广 无
歆	音 欠
蝮	虫 气 日 夂
蹶	足 厂 丷 屮 欠
弈	亦 艹
庋	广 十 又
喟	口 田 月
滂	氵 立 方
啕	口 勹 缶
蛎	虫 厂 1 刀
獭	犬 束 角 贝
槁	木 高
翊	立 羽
龊	齿 足
邺	业 耳
莘	艹 辛
燮	言 火 火 又
剁	几 木 刀
觐	革 二 见
铛	金 龸 彐
谗	言 象 儿 冫
镍	金 自 木
臃	月 亠 乡 隹
墒	土 立 八 口
晔	日 亻 匕 十
燔	火 采 田
嘭	口 壴 彡
涿	氵 豕 4
醯	酉 云 川 皿
箩	竹 四 夕
鄱	采 田 耳
睨	目 臼 儿
诤	言 角 聿
坳	土 幺 力
鹭	足 各 鸟
砷	石 申
唏	口 乂 右 巾
伲	亻 尸 匕
猬	犬 田 月
琥	王 虍 几
殁	歹 殳
蚩	屮 1 虫
泾	氵 又 工
缥	纟 西 示
殓	歹 合 龸
鳅	鱼 禾 火
氰	气 丰 月
诋	言 卯 七 4
刍	角 彐
芷	艹 止
嶙	山 米 夕 㐄
逅	厂  辶
舫	舟 方
呓	口 艹 6
唰	口 尸 巾 刀
茁	艹 屮 冂
馑	食 革 二
妫	女 4 力 4
骧	马 衣 吅 井
苷	艹 甘
擢	手 羽 隹
峋	山 勹 日
袂	衣 匚 人
懑	氵 艹 1 内 人 心
蓑	艹 衣 冂 二
涞	氵 未 丷
祉	示 止
踹	足 山 而
掇	手 双 双
沏	氵 七 刀
诳	言 犬 王
噫	口 音 心
饽	食  子
饪	食 王
绺	纟 夂 卜 口
谘	言 冫 欠 口
飧	夕 食
迳	又 工 辶
铡	金 贝 刀
枞	木 人 人
熨	尸 示 寸 火
鋈	氵 天 金
荭	艹 纟 工
赊	贝 人 示
俦	亻 丰 寸
戛	页 戈
湎	氵 面
幺	幺
凇	冫 木 八 厶
芪	艹 卯 七
觯	角  十
龌	齿 尸 至
挞	手 大 辶
嬴	亡  女
苻	艹 亻 寸
嘁	口 戊 上 小
鞯	革 艹 右 子
肽	月 大 4
恸	心 云 力
迨	厶 口 辶
钰	金 玉
儆	亻 艹 句 夂
觎	合 月 刀 见
讫	言 气 6
滓	氵 宀 辛
僮	亻 立 里
媾	女 井 冂 土
龇	齿 止 匕
胯	月 大 1 丂
涮	氵 尸 巾 刀
绾	纟 宀 吅
杈	木 又 4
赳	走 卩
斛	角 斗
觥	角 龸 兀
疸	疒 旦
卞	亠 卜
愠	心 日 皿
拮	手 吉
庠	广 羊
烨	火 亻 匕 十
龢	合 吅 口 册 禾
菠	 皮
窈	穴 幺 力
罄	士 尸 殳 缶
囤	囗 1 屮
弁	厶 艹
奘	片 士 大
咣	口 龸 兀
缫	纟 川 田 木
腴	月 臼 人
缈	纟 目 小 3
喵	口 艹 田
潢	氵 廿 由
遛	卯 田 辶
柚	木 由
郏	夫 丷 耳
荻	艹 犬 火
藜	艹 禾 勹 3 人 水
琨	王 日 比
镳	金 鹿 火
雉	矢 隹
橐	 石 木
骈	马 丷 开
蛉	虫 令
艮	艮
搽	手 艹 人 木
濡	氵 雨 而
寮	宀 大 丷 日 小
柩	木 匚 角 4
佗	亻 宀 匕
啷	口 4 艮 耳
诜	言 牛 儿
偻	亻 米 女
夯	大 力
闱	门 韦
谖	言 爪 1 右 又
夥	田 木 夕 夕
枸	木 句
膑	月 宀 斤 八
虻	虫 亡
筠	竹 土 勹 冫
埽	土 彐 冖 巾
笞	竹 厶 口
臾	臼 人
婀	女 耳 可
珞	王 各
粑	米 巴
怵	心 木 4
绻	纟 夫 卩
殒	歹 口 贝
觊	山 己 见
崂	山  力
颧	艹 吅 隹 页
嗑	口 土 厶 皿
榛	木 丰 禾
昱	日 立
蜴	虫 日 勹 彡
鳝	鱼 羊 丷 口
噙	口 人 亠 乂 冂 内
淼	水 水 水
矾	石 几 4
硼	石 月 月
囿	囗 右 月
泅	氵 囗 人
邂	角 刀 牛 辶
钜	金 匚 匚
蠹	 石 虫 虫
垩	1 业 土
乩	占 5
嗝	口 鬲
淦	氵 金
樽	木 酋 寸
诮	言 龸 月
揆	手 八 天
啐	口 亠 人 人 十
淅	氵 木 斤
榉	木 龸 八 手
馗	九 丷 自
辔	纟 车 纟 口
暹	日 隹 辶
骛	矛 夂 马
鱿	鱼 尤
苫	艹 占
犷	犬 广
獠	犬 大 丷 日 小
詈	四 言
竦	立 束
篙	竹 高
诨	言 冖 车
铰	金 六 乂
馄	食 日 比
蜚	非 虫
峒	山 冂 
滢	氵  玉
琬	王 宀 夕 卩
靓	丰 月 见
狻	犬 厶 八 夂
璨	王 歹 又 米
犟	弓 口 虫 牛
鸬	卜 尸 鸟
螨	虫 艹 1 内 人
芩	艹 令 5
嘹	口 大 丷 日 小
锟	金 日 比
蜇	手 斤 虫
洹	氵 1 旦
栉	木 艹 卩
俪	亻 1 月 月
钍	金 土
锨	金 斤 欠
瑁	王 日 目
壹	 豆
痿	疒 禾 女
竑	立 右 厶
粕	米 白
犄	牛 大 可
瘙	疒 又 4 虫
饯	食 1 戈
抟	手 二 5 4
衲	衣 内
踮	足 广 占
龅	齿 勹 巳
愎	心 气 日 夂
馥	禾 日 气 日 夂
梏	木 牛 口
讣	言 卜
邝	广 耳
艿	艹 乃
趺	足 夫
鲟	鱼 彐 寸
剜	宀 夕 卩 刀
绉	纟 角 彐
罅	缶 虍 3 丷 十
笥	竹 5 
衩	衣 又 4
姣	女 六 乂
斫	石 斤
鹗	吅 1 丂 鸟
爻	乂 乂
猕	犬 弓 角 小
晗	日 令 5 口
铩	金 乂 木
窕	穴 儿 冫 冫
仨	亻 三
搡	手 又 双 木
崴	山 戊 1 女
酢	酉 乍
檄	木 白 方 夂
佞	亻 二 女
璀	王 山 隹
岷	山 民
舛	夕 㐄
邕	川 口 巴
闿	门 山 己
铂	金 白
霁	雨 文 
犒	牛 高
馏	食 卯 田
阈	门 戈 
麋	鹿 米
麒	鹿 其
苁	艹 人 人
摁	手 囗 大 心
涔	氵 山 令 5
宥	宀 右 月
妍	女 开
铤	金 王 廴
锷	金 吅 1 丂
嗲	口 八 乂 夕 夕
恽	心 冖 车
麂	鹿 几
赝	厂 亻 隹 贝
胛	月 甲
哂	口 西
撷	手 吉 页
呶	口 女 又
噘	口 厂 丷 屮 欠
懔	心 亠 吅 示
栎	木 卯 小
桎	木 至
霰	雨 廿 月 夂
飨	乡 食
揄	手 合 月 刀
噔	口 八 豆
娣	女 丷 
薏	艹 音 心
忝	天 小
咤	口 宀 3 七
嗵	口 厶 用 辶
迤	气 也 辶
贲	十 艹 贝
胪	月 卜 尸
鍪	矛 夂 金
泸	氵 卜 尸
蔫	艹 正 1 5 火
刈	乂 刀
僖	亻 壴 口
咿	口 亻 彐 3
鹌	大 电 鸟
嗪	口 丰 禾
茏	艹 龙
茯	艹 亻 犬
岫	山 由
嵘	山  木
轱	车 古
怼	又 寸 心
铨	金 人 王
昕	日 斤
郢	口 王 耳
咩	口 羊
馊	食 臼 2 又
髡	长 兀
澧	氵 曲 豆
苣	艹 匚 匚
濯	氵 羽 隹
盥	臼 水 皿
囡	囗 女
砺	石 厂 1 刀
佘	人 示
谶	言 人 人 戈 非 1
弑	乂 木 弋 工
楂	木 木 旦
翦	丷 月 刀 羽
怩	心 尸 匕
蠼	虫 目 目 隹 又
霏	雨 非
楹	木 乃 又 皿
讴	言 匚 乂
锲	金 丰 刀 大
慵	心 广 聿 用
胝	月 卯 七 4
砭	石 3 之
潍	氵 纟 隹
杵	木 气 十
樾	木 走 戊
帼	巾 囗 玉
碣	石 日 勹 亡
诌	言 角 彐
徕	彳 未 丷
胴	月 冂 
钴	金 古
裟	氵 小 3 衣
啶	口 宀 疋
铣	金 牛 儿
铱	金 衣
楫	木 口 耳
赭	土 业 者
碛	石 责
酊	酉 丁
魑	 厶 亠 乂 冂 内
醛	酉 艹 人 王
剐	口 内 刀
畦	田 圭
陂	耳 皮
闶	门 亠 几
阄	门 角 电
祚	示 乍
鹘	骨 鸟
泱	氵 冂 大
趄	走 且
骅	马 亻 匕 十
陲	耳 千 艹 二
郧	口 贝 耳
倜	亻 冂 吉
呤	口 令
燧	火 丷 豕 辶
铉	金 亠 幺
粲	歹 又 米
骶	骨 卯 七 4
峁	山 卯
忸	心 5 土
渌	氵 彐 水
骞	宀 井 八 马
髭	长 止 匕
戡	其 5 戈
钨	金 乌
谲	言 矛 冂 八 口
苋	艹 见
锃	金 口 王
蜊	虫 禾 刀
幄	巾 尸 至
闼	门 大 辶
戕	片 戈
骊	马 1 月 月
虢	爪 寸 虍 几
烩	火 人 云
傥	亻 龸 口 儿
妲	女 旦
绌	纟 屮 冂
桠	木 1 业
袈	力 口 衣
薮	艹 米 女 夂
揿	手 金 欠
杲	日 木
肓	亡 月
厝	厂 廿 日
莅	艹 亻 立
氤	气 囗 大
缙	纟 1 业 日
衮	衣 八 厶
诟	言 厂 
旖	方 气 大 可
硒	石 西
唁	口 言
嬗	女 亠 吅 旦
硎	石 开 刀
裱	衣 丰 衣
颦	止 小 页  十
靥	厂 犬 面
纥	纟 气 6
煨	火 田 1 衣
礴	石  甫 寸
鏖	鹿 金
蝈	虫 囗 玉
笏	竹 勹 彡
羿	羽 艹
鼐	乃 目 片 片
湟	氵 白 王
甑	 日 瓦
炜	火 韦
煲	亻 口 木 火
锉	金 人 人 土
笕	竹 见
喑	口 音
嶂	山 音 十
浔	氵 彐 寸
弭	弓 耳
妪	女 匚 乂
锂	金 里
苡	艹 匕 人
孳	丷 幺 幺 子
颏	亥 页
醴	酉 曲 豆
渚	氵 者
轭	车 厂 卩
鹬	矛 冂 八 口 鸟
蚝	虫 毛
膘	月 西 示
邛	工 耳
痨	疒  力
褡	衣 艹 合
耦	二 木 田 内
覃	西 日 十
馔	食 巳 巳 廿 八
篾	竹 四 戊 4
兖	六 厶 儿
阋	门 臼 儿
遨	丰 刀 夂 辶
爰	爪 1 右 又
痂	疒 力 口
艄	舟 龸 月
耨	二 木 辰 寸
沤	氵 匚 乂
邋	川 鼠 辶
焓	火 令 5 口
秣	禾 末
昶	4 水 日
窣	穴 亠 人 人 十
绦	纟 夂 木
俎	人 人 且
榫	木 隹 十
蟪	虫 二 虫 心
稗	禾  十
謇	宀 井 八 言
氩	气 1 业
锴	金 比 白
龉	齿 五 口
烃	火 又 工
俣	亻 口 天
嬷	女 广 林 3 厶
肱	月 右 厶
鸢	弋 鸟
笫	竹 
痤	疒 人 人 土
菏	 可
莆	艹 甫
芨	艹 及
阕	门 八 天
砣	石 宀 匕
碜	石 厶 大 彡
鼹	鼠 日 宀 女
猷	酋 犬
竽	竹 1 十
舸	舟 可
诓	言 匚 王
錾	车 斤 金
淬	氵 亠 人 人 十
隗	耳  厶
悌	心 丷 
姘	女 丷 开
槭	木 戊 上 小
邈	豸 白 儿 辶
婕	女 聿 疋
歙	合 羽 欠
稹	禾 直 八
蹴	足 高 小 尤
砒	石 比
痈	疒 用
镏	金 卯 田
羯	羊 日 勹 亡
豕	豕
鲂	鱼 方
蓖	艹  乂 比
匦	匚 车 九
笤	竹 召
峥	山 角 聿
徭	彳 爪 缶
浃	氵 夫 丷
烊	火 羊
窸	穴 采 心
酆	山 丰 丰 豆 耳
缢	纟 丷 八 皿
褓	衣 亻 口 木
蚨	虫 夫
翳	匚 矢 殳 羽
趔	走 歹 刀
炔	火 匚 人
誊	夫 言
赜	臣 责
仃	亻 丁
勖	日 目 力
葺	艹 口 耳
蚴	虫 幺 力
泷	氵 龙
蛴	虫 文 
媸	女 屮 1 虫
俳	亻 非
诖	言 圭
茑	艹 鸟
逡	厶 八 夂 辶
孱	尸 子 子 子
砦	止 匕 石
跸	足 比 十
祜	示 古
伉	亻 亠 几
溴	氵 自 犬
屐	尸 彳 十 又
飚	几 乂 火 火 火
蛞	虫 舌
掮	手 户 月
崆	山 穴 工
庾	广 臼 人
橛	木 厂 丷 屮 欠
矸	石 干
鸨	匕 十 鸟
圻	土 斤
缂	纟 革
蒯	艹 月 月 刀
诹	言 耳 又
啭	口 车 二 5 4
饧	食 5 彡
镉	金 鬲
鸪	古 鸟
蛩	工 几 4 虫
蠖	虫 艹 隹 又
劭	召 力
哐	口 匚 王
崧	山 木 八 厶
杼	木 予
棂	木 彐 火
螫	土 业 夂 虫
龃	齿 且
饔	亠 乡 隹 食
遑	白 王 辶
颢	景 页
腱	月 聿 廴
襁	衣 弓 口 虫
忾	心 气
濠	氵 高 豕
牝	牛 匕
蛄	虫 古
鲆	鱼 干 丷
嗄	口 页 夂
灏	氵 景 页
疥	疒 人 
苜	艹 目
荞	艹 天 
嘣	口 山 月 月
夤	夕 宀 1 由
砝	石 土 厶
颞	耳 双 页
忤	心 气 十
遢	日 羽 辶
旎	方 气 尸 匕
瘛	疒 丰 刀 心
魉	 厶 1 内 人
辇	夫 夫 车
瓤	衣 吅 井 瓜
荥	 水
涫	氵 宀 吅
娌	女 里
氚	气 川
臁	月 广 丷 彐 业
毂	 车
碇	石 宀 疋
毖	比 心 3
壅	亠 乡 隹 土
吡	口 比
缛	纟 辰 寸
玮	王 韦
羟	羊 又 工
珈	王 力 口
颀	斤 页
虼	虫 气 6
祇	示 卯 七
佝	亻 句
翕	合 羽
遴	米 夕 㐄 辶
珏	王 玉
郛	爪 子 耳
玖	王 角 4
蹇	宀 井 八 足
逋	甫 辶
氅	龸 口 夂 毛
粽	米 宀 示
诂	言 古
岢	山 可
聒	耳 舌
髁	骨 田 木
黍	禾 人 水
芾	艹  2
淝	氵 月 巴
鲎	龸 鱼
鞣	革 矛 木
髋	骨 宀 艹 见
闳	门 右 厶
潆	氵  纟
汨	氵 日
胍	月 瓜
阏	门 方 人 冫
钤	金 令 5
鹜	矛 夂 鸟
鬈	长 夫 卩
铵	金 宀 女
戬	1 业 日 戈
崮	山 囗 古
枰	木 干 丷
樯	木 土 丷 吅
脍	月 人 云
畲	人 示 田
衾	令 5 衣
蹼	足 业 羊 4
劬	句 力
咭	口 吉
囫	囗 勹 彡
洱	氵 耳
刎	勹 彡 刀
芏	艹 土
琊	王 牙 耳
碚	石 立 口
鳕	鱼 雨 彐
谪	言 立 古
芎	艹 弓
恂	心 勹 日
槿	木 革 二
鲢	鱼 车 辶
鲧	鱼 3 纟
嘧	口 宀 心 3 山
绀	纟 甘
郦	1 月 月 耳
噱	口 虍 豕
浠	氵 乂 右 巾
潸	氵 林 月
跏	足 力 口
鲶	鱼 令 5 心
矍	目 目 隹 又
苌	艹 长
抻	手 申
琰	王 火 火
鹚	丷 幺 幺 鸟
龆	齿 召
臬	自 木
芄	艹 九 4
呔	口 大 4
雒	各 隹
觞	角 气 5 彡
钒	金 几 4
饫	食 天
阒	门 目 犬
槎	木 羊 工
鸩	冖 儿 鸟
舂	丰 臼
谠	言 龸 口 儿
阡	耳 千
莒	艹 口 口
萸	艹 臼 人
妗	女 令 5
稔	禾 令 5 心
穰	禾 衣 吅 井
蚧	虫 人 
餍	厂 犬 食
谯	言 隹 火
芗	艹 乡
菸	艹 方 人 冫
葩	艹 白 巴
踔	足 卜 日 十
厣	厂 犬 甲
佻	亻 儿 冫 冫
嘌	口 西 示
饩	食 气
钏	金 川
蠓	虫  1 豕
黩	黑 十 5 冫 大
倨	亻 尸 古
缬	纟 吉 页
殚	歹  十
钿	金 田
鎏	氵 云 川 金
恁	亻 王 心
藿	艹 雨 隹
囟	 乂
鄣	音 十 耳
呋	口 夫
婺	矛 夂 女
绱	纟 龸 口
瓯	匚 乂 瓦
旃	方 气 冂 亠
锶	金 田 心
酩	酉 夕 口
恹	心 厂 犬
逶	禾 女 辶
缦	纟 曼
鸹	舌 鸟
螟	虫 冖 日 六
菟	艹 象 儿 4
阗	门 直 八
濉	氵 目 隹
篑	竹 虫 贝
醪	酉 羽 人 彡
鲛	鱼 六 乂
讦	言 干
媪	女 日 皿
邬	乌 耳
殇	歹 气 5 彡
鄯	羊 丷 口 耳
芡	艹 欠
嫠	未 夂 厂 女
肼	月 井
峤	山 天 
矽	石 夕
讧	言 工
掼	手 毌 贝
焖	火 门 心
愆	行 氵 心
聩	耳 虫 贝
岘	山 见
靛	丰 月 宀 疋
菖	艹 日 日
卟	口 卜
姒	女 匕 人
杷	木 巴
砉	丰 石
袢	衣 丷 手
蚋	虫 内
笳	竹 力 口
挈	丰 刀 手
踽	足 3 口 内
黾	口 电
侩	亻 人 云
凫	鸟 几
诔	言 二 木
郯	火 火 耳
韪	日 疋 韦
挲	氵 小 3 手
笪	竹 旦
鼋	二 儿 口 电
莜	艹 亻 夂
菅	艹 宀 吅
嵊	山 禾 片 匕
裢	衣 车 辶
趿	足 及
箸	竹 者
莴	艹 口 内
莠	艹 禾 乃
阌	门  又
旯	日 九
圜	囗 四  衣
涪	氵 立 口
赍	 人 人 贝
柞	木 乍
嗍	口 丷 屮 月
囵	囗 人 匕
榧	木 匚 非
裰	衣 双 双
笾	竹 力 辶
簟	竹 西 日 十
跎	足 宀 匕
巽	巳 巳 廿 八
曷	日 勹 亡
逖	犬 火 辶
骓	马 隹
绔	纟 大 1 丂
枋	木 方
镒	金 丷 八 皿
魃	 厶 右 又
餮	歹 人 彡 食
讵	言 匚 匚
乜	5 5
鄢	正 1 5 火 耳
瑭	王 广 聿 口
踅	手 斤 足
馓	食 廿 月 夂
蟛	虫 壴 彡
鳟	鱼 酋 寸
荛	艹 戈 兀
忪	心 八 厶
阍	门 卯 七 日
姹	女 宀 3 七
纰	纟 比
桉	木 宀 女
氪	气 古 儿
氘	气 
垅	土 龙
郃	合 耳
汊	氵 又 4
娉	女 由 丂
纡	纟 1 十
缟	纟 高
旮	九 日
镢	金 厂 丷 屮 欠
傈	亻 西 木
堋	土 月 月
蔺	艹 门 隹
庥	广 亻 木
枥	木 厂 力
腭	月 吅 1 丂
鹕	古 月 鸟
笮	竹 乍
髂	骨 宀 各
魍	 厶 冂 丷 亡
缁	纟 川 田
槊	丷 屮 月 木
跞	足 卯 小
醚	酉 米 辶
吒	口 3 七
枳	木 口 八
搿	手 合 手
鹧	广 廿 火 鸟
蜍	虫 人 禾
舻	舟 卜 尸
鏊	丰 刀 夂 金
禳	示 衣 吅 井
蒺	艹 疒 矢
钹	金 右 又
蜢	虫 子 皿
鬻	弓 米 弓 鬲
珩	王 行
卮	厂 1 卩
垭	土 1 业
苄	艹 亠 卜
苕	艹 召
菀	艹 宀 夕 卩
骠	马 西 示
袷	衣 合
跹	足 千 辶
瘘	疒 米 女
磬	士 尸 殳 石
缶	缶
笸	竹 匚 口
鸷	手 九 4 鸟
芰	艹 十 又
蕲	艹  十 斤
阆	门 4 艮
纨	纟 九 4
琮	王 宀 示
牦	牛 毛
砩	石 弓 
蠲	丷 八 皿 四 勹 虫
锒	金 4 艮
锕	金 耳 可
郓	冖 车 耳
妯	女 由
驷	马 四
鹩	大 丷 日 小 鸟
舢	舟 山
趸	1 刀 足
芫	艹 二 儿
嗉	口 丰 纟
蠊	虫 广 丷 彐 业
笊	竹 爪
莸	艹 犬 尤
饴	食 厶 口
阃	门 囗 木
浯	氵 五 口
枇	木 比
焱	火 火 火
铆	金 卯
擤	手 自 田 兀
柢	木 卯 七 4
醢	酉 右 皿
呲	口 止 匕
崾	山 西 女
溆	氵 人 禾 又
潴	氵 犬 者
牖	片 户 甫
硪	石 手 戈
碓	石 隹
鹆	谷 鸟
鬣	长 川 鼠
堀	土 尸 屮 冂
帙	巾 3 夫
雱	雨 方
诎	言 屮 冂
獐	犬 音 十
桁	木 行
蛱	虫 夫 丷
鳏	鱼 四 水
郴	林 耳
幂	冖 日 大 巾
箝	竹 手 甘
僳	亻 西 米
疝	疒 山
茴	艹 吅
揶	手 耳 耳
呦	口 幺 力
嗌	口 丷 八 皿
囹	囗 令
螈	虫 厂 白 小
脲	月 尸 水
镊	金 耳 双
锑	金 丷 
胨	月 七 小
膈	月 鬲
痼	疒 囗 古
鳊	鱼 户 册
赅	贝 亥
贽	手 九 4 贝
苤	艹 不 1
峄	山 又 手
桡	木 戈 兀
雎	且 隹
鲋	鱼 亻 寸
鞫	革 勹 言
鼬	鼠 由
獯	犬 千 黑
昀	日 勹 冫
痍	疒 大 弓
蟊	矛 虫 虫
鞴	革 廿 3 用
疖	疒 卩
熘	火 卯 田
乇	3 七
羸	亡  羊
嵴	山 冫 冫 人 月
栀	木 厂 1 卩
槲	木 角 斗
炝	火 人 卩
炷	火 4 王
硐	石 冂 
锸	金 千 臼
鹂	1 月 月 鸟
裾	衣 尸 古
侪	亻 文 
珐	王 土 厶
哔	口 比 十
屙	尸 耳 可
旆	方 气  2
佰	亻 百
僦	亻 高 小 尤
牯	牛 古
钪	金 亠 几
掾	手 彐 豕
仟	亻 千
圮	土 己
芟	艹 殳
崃	山 未 丷
廪	广 亠 吅 示
擘	尸 口 辛 手
笱	竹 句
跗	足 亻 寸
鲅	鱼 右 又
硷	石 合 龸
苎	艹 宀 1
匏	大 1 丂 勹 巳
嗾	口 方 气 矢
圄	囗 五 口
彀	 1 弓
粳	米 更
卣	卜 囗 匚
勐	子 皿 力
掴	手 囗 玉
涑	氵 束
浞	氵 足
玳	王 亻 弋
愍	民 夂 心
畛	田 人 彡
赧	土 业 卩 又
貉	豸 各
擀	手 十 日 十 人 干
湫	氵 禾 火
逦	1 月 月 辶
椴	木 手 殳
铄	金 卯 小
箧	竹 匚 夫 丷
刖	月 刀
鲮	鱼 土 八 夂
訇	勹 言
茱	艹 3 未
啖	口 火 火
悭	心 刀 又 土
愀	心 禾 火
朐	月 句
畈	田 厂 又
鹨	羽 人 彡 鸟
蛘	虫 羊
佶	亻 吉
缃	纟 木 目
晟	日 戊 5
鲱	鱼 非
凼	水 冂
苴	艹 且
颛	山 而 页
厍	厂 车
徉	彳 羊
洙	氵 3 未
氡	气 夂 冫
胗	月 人 彡
癯	疒 目 目 隹
鞒	革 天 
锆	金 牛 口
佤	亻 瓦
勰	力 力 力 田 心
钺	金 戊
繇	爪 缶 3 纟
螭	虫 亠 乂 冂 内
嵬	山  厶
轸	车 人 彡
肟	月 1 丂
肫	月 1 屮
邨	1 屮 耳
瘿	疒 贝 贝 女
仞	亻 刀 4
奁	大 匚 乂
宄	宀 九
轳	车 卜 尸
熳	火 曼
睇	目 丷 
钼	金 目
蝼	虫 米 女
跆	足 厶 口
樗	木 雨 1 丂
鲰	鱼 耳 又
诶	言 厶 矢
薜	艹 尸 口 辛
铧	金 亻 匕 十
裥	衣 门 日
榇	木 立 木
馃	食 田 木
蹚	足 龸 口 土
怄	心 匚 乂
寤	宀 片 五 口
缗	纟 民 日
硗	石 戈 兀
碡	石 丰 母
矬	矢 人 人 土
鸱	卯 七 4 鸟
虺	兀 虫
糅	米 矛 木
雠	隹 言 隹
帑	女 又 巾
镧	金 门 束 丷
埙	土 口 贝
啁	口 冂 吉
悒	心 口 巴
犍	牛 聿 廴
硌	石 各
锩	金 夫 卩
虿	1 刀 虫
蛑	虫 厶 牛
艉	舟 尸 毛
咴	口 右 火
筮	竹 工 人 人
艏	舟 丷 自
糁	米 厶 大 彡
鼍	吅 田 1 口 电
肄	匕 矢 聿
籴	人 米
骜	丰 刀 夂 马
砻	龙 石
蜮	虫 戈 
龀	齿 匕
黢	黑 厶 八 夂
劢	1 刀 力
耪	二 木 立 方
鬯	米 冂 匕
畚	厶 大 田
觳	 1 角
稞	禾 田 木
鹁	 子 鸟
鲲	鱼 日 比
捌	手 口 力 刀
菔	艹 月 卩 又
獬	犬 角 刀 牛
柘	木 石
娆	女 戈 兀
篪	竹 厂 虍 几
鲀	鱼 1 屮
谰	言 门 束 丷
孬	不 女 子
伥	亻 长
谇	言 亠 人 人 十
鄄	西 土 耳
狎	犬 甲
闫	门 三
滟	氵 丰 角 巴
齑	文  非 1
遒	酋 辶
磔	石 夕 㐄 木
聃	耳 冂 土
綦	其 纟
鲡	鱼 1 月 月
蔻	艹 宀 二 儿 歹
泠	氵 令
砗	石 车
钕	金 女
镫	金 八 豆
菹	 且
胂	月 申
煅	火 手 殳
煸	火 户 册
螯	丰 刀 夂 虫
躅	足 四 勹 虫
鲠	鱼 更
佥	合 龸
罘	四 不
嶝	山 八 豆
坨	土 宀 匕
菽	艹 上 小 又
哞	口 厶 牛
徜	彳 龸 口
慊	心 丷 彐 业
洳	氵 女 口
渑	氵 口 电
灞	氵 雨 革 月
盍	土 厶 皿
钋	金 卜
鸫	七 小 鸟
踯	足 丷 天 耳
縻	广 林 纟
萘	艹 大 示
褫	衣 厂 虍 几
羰	羊 山 右 火
俅	亻 求
芤	艹 子 5
隳	耳 右 工 月 人 小
洮	氵 儿 冫 冫
胼	月 丷 开
罴	四 土 厶 火
镛	金 广 聿 用
怛	心 旦
芊	艹 千
啉	口 林
噌	口  日
嫱	女 土 丷 吅
绲	纟 日 比
膻	月 亠 吅 旦
焐	火 五 口
葎	艹 彳 聿
亓	1 兀
倮	亻 田 木
莼	艹 纟 1 屮
蘅	艹 行 鱼 人
嘞	口 革 力
缒	纟 3 吅 辶
镆	金 莫
伧	亻 人 卩
荏	艹 亻 王
唳	口 户 犬
檩	木 亠 吅 示
鸶	纟 纟 鸟
蚬	虫 见
骱	骨 人 
蘖	艹 3 吅 辛 木
澍	氵 壴 寸
韫	韦 日 皿
颎	匕 火 页
嘏	古 尸 二 匚 又
垡	亻 戈 土
腚	月 宀 疋
焯	火 卜 日 十
怙	心 古
羧	羊 厶 八 夂
鼙	壴 十 又  十
倥	亻 穴 工
亳	高 3 七
艽	艹 九
荠	艹 文 
昴	日 卯
舨	舟 厂 又
魈	 厶 龸 月
醣	酉 广 聿 口
枵	木 口 丂
粜	屮 冂 米
甙	弋 甘
珲	王 冖 车
杓	木 勹 4
楸	木 禾 火
楦	木 宀 1 旦
疃	田 立 里
蛏	虫 又 土
蠛	虫 艹 四 戊 4
髌	骨 宀 斤 八
茔	 土
诼	言 豕 4
嬖	尸 口 辛 女
蜣	虫 羊 5
笄	竹 开
跣	足 牛 儿
钣	金 厂 又
戆	音 十 夂 工 贝 心
蜉	虫 爪 子
喾	龸 牛 口
铍	金 皮
陉	耳 又 工
薹	艹 吉 冖 至
肷	月 欠
岵	山 古
瓴	令 瓦
荽	艹 爪 女
怫	心 弓 
钭	金 斗
窀	穴 1 屮
缯	纟  日
倬	亻 卜 日 十
摭	手 广 廿 火
帔	巾 皮
楝	木 束 丷
痱	疒 非
蚶	虫 甘
螬	虫  日
髑	骨 四 勹 虫
鼗	儿 冫 冫 壴 十 又
狷	犬 口 月
殛	歹 了 口 又 1
裉	衣 艮
粝	米 厂 1 刀
萋	艹 聿 女
葭	艹 尸 二 匚 又
衽	衣 王
鳢	鱼 曲 豆
傧	亻 宀 斤 八
